94, 301
double 77 39
double 154 78
increase 308 2
increase 309 2
increase 310 2
increase 311 2
increase 312 2
increase 313 2
increase 314 2
increase 315 2
increase 316 2
increase 317 2
increase 318 2
increase 319 2
increase 320 2
increase 321 2
increase 322 2
increase 323 2
increase 324 2
increase 325 2
increase 326 2
increase 327 2
increase 328 2
increase 329 2
increase 330 2
increase 331 2
increase 332 2
increase 333 2
increase 334 2
increase 335 2
increase 336 2
increase 337 2
increase 338 2
increase 339 2
increase 340 2
increase 341 2
increase 342 2
increase 343 2
increase 344 2
increase 345 2
increase 346 2
increase 347 2
increase 348 2
increase 349 2
increase 350 2
increase 351 2
increase 352 2
increase 353 2
increase 354 2
increase 355 2
increase 356 2
increase 357 2
increase 358 2
increase 359 2
increase 360 2
increase 361 2
increase 362 2
increase 363 2
increase 364 2
increase 365 2
increase 366 2
increase 367 2
increase 368 2
increase 369 2
increase 370 2
increase 371 2
increase 372 2
increase 373 2
increase 374 2
increase 375 2
increase 376 2
increase 377 2
increase 378 2
increase 379 2
increase 380 2
increase 381 2
increase 382 2
increase 383 2
increase 384 2
increase 385 2
increase 386 2
increase 387 2
increase 388 2
increase 389 2
increase 390 2
increase 391 2
increase 392 2
increase 393 2
increase 394 2
increase 395 2
increase 396 2
increase 397 2
increase 398 2
increase 399 2
