105, 329
half 480 121
increase 240 2
increase 241 2
increase 242 2
increase 243 2
increase 244 2
increase 245 2
increase 246 2
increase 247 2
increase 248 2
increase 249 2
increase 250 2
increase 251 2
increase 252 2
increase 253 2
increase 254 2
increase 255 2
increase 256 2
increase 257 2
increase 258 2
increase 259 2
increase 260 2
increase 261 2
increase 262 2
increase 263 2
increase 264 2
increase 265 2
increase 266 2
increase 267 2
increase 268 2
increase 269 2
increase 270 2
increase 271 2
increase 272 2
increase 273 2
increase 274 2
increase 275 2
increase 276 2
increase 277 2
increase 278 2
increase 279 2
increase 280 2
increase 281 2
increase 282 2
increase 283 2
increase 284 2
increase 285 2
increase 286 2
increase 287 2
increase 288 2
increase 289 2
increase 290 2
increase 291 2
increase 292 2
increase 293 2
increase 294 2
increase 295 2
increase 296 2
increase 297 2
increase 298 2
increase 299 2
increase 300 2
increase 301 2
increase 302 2
increase 303 2
increase 304 2
increase 305 2
increase 306 2
increase 307 2
increase 308 2
increase 309 2
increase 310 2
increase 311 2
increase 312 2
increase 313 2
increase 314 2
increase 315 2
increase 316 2
increase 317 2
increase 318 2
increase 319 2
increase 320 2
increase 321 2
increase 322 2
increase 323 2
increase 324 2
increase 325 2
increase 326 2
increase 327 2
increase 328 2
increase 329 2
increase 330 2
increase 331 2
increase 332 2
increase 333 2
increase 334 2
increase 335 2
increase 336 2
increase 337 2
increase 338 2
increase 339 2
increase 340 2
increase 341 2
increase 342 2
increase 343 2
