131, 262
increase 640 2
increase 641 2
increase 642 2
increase 643 2
increase 644 2
increase 645 2
increase 646 2
increase 647 2
increase 648 2
increase 649 2
increase 650 2
increase 651 2
increase 652 2
increase 653 2
increase 654 2
increase 655 2
increase 656 2
increase 657 2
increase 658 2
increase 659 2
increase 660 2
increase 661 2
increase 662 2
increase 663 2
increase 664 2
increase 665 2
increase 666 2
increase 667 2
increase 668 2
increase 669 2
increase 670 2
increase 671 2
increase 672 2
increase 673 2
increase 674 2
increase 675 2
increase 676 2
increase 677 2
increase 678 2
increase 679 2
increase 680 2
increase 681 2
increase 682 2
increase 683 2
increase 684 2
increase 685 2
increase 686 2
increase 687 2
increase 688 2
increase 689 2
increase 690 2
increase 691 2
increase 692 2
increase 693 2
increase 694 2
increase 695 2
increase 696 2
increase 697 2
increase 698 2
increase 699 2
increase 700 2
increase 701 2
increase 702 2
increase 703 2
increase 704 2
increase 705 2
increase 706 2
increase 707 2
increase 708 2
increase 709 2
increase 710 2
increase 711 2
increase 712 2
increase 713 2
increase 714 2
increase 715 2
increase 716 2
increase 717 2
increase 718 2
increase 719 2
increase 720 2
increase 721 2
increase 722 2
increase 723 2
increase 724 2
increase 725 2
increase 726 2
increase 727 2
increase 728 2
increase 729 2
increase 730 2
increase 731 2
increase 732 2
increase 733 2
increase 734 2
increase 735 2
increase 736 2
increase 737 2
increase 738 2
increase 739 2
increase 740 2
increase 741 2
increase 742 2
increase 743 2
increase 744 2
increase 745 2
increase 746 2
increase 747 2
increase 748 2
increase 749 2
increase 750 2
increase 751 2
increase 752 2
increase 753 2
increase 754 2
increase 755 2
increase 756 2
increase 757 2
increase 758 2
increase 759 2
increase 760 2
increase 761 2
increase 762 2
increase 763 2
increase 764 2
increase 765 2
increase 766 2
increase 767 2
increase 768 2
increase 769 2
increase 770 2
